따라서 고령자이거나 기저질환이 있다면 코로나19 백신 접종으로 인한 이득이 가장 큰 대상이라고 할 수 있습니다 .	O O O O O O O O O O O O O O O O
청원인은 “여성들이 백신 접종 후 생리 주기가 아닌데도 부정출혈이 발생하는 사례가 빈번히 발생하고 있다”며 “그런데 백신 부작용으로 신고조차 받아주지 않아 답답한 현실”이라고 호소했다 .	O O O O O O O O SYMP-B O O O O O O O O O O O O O O O
김씨는 기저질환도 없고 가족력도 없고 담배는 피웠지만 평소에 잘 아프지도 않았는데,“이제 남은 것은 까마귀 날자 배떨어진 것인지? 아니면 백신부작용인지? 증명해야 하는 험난한 길이 남았다고 적었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O
원인에 노출된 후 대개 30분 이내에 호흡기·순환기 증상이 나타나며 심각한 경우 사망에 이를 수도 있어 주의를 요한다 .	O O O O O O O O O O O DIS-B O O O O O O
지난 9월 8일 화이자 백신 2차 접종을 한 A 씨는 2차 접종을 하고 난 뒤 머리카락이 끊어지고 뽑히고 난리였다며 초음파 및 피검사 결과 갑상샘 기능에는 이상이 없었고 지난 6일 병원에서는 원형탈모증, 약물 부작용과 자가면역질환이라고 진단했다고 설명했습니다 .	O O O VACC-B O O O O O O O O O O O O O O O O O O O O O O O O O O DIS-B O O O O O O
캐롯손해보험도 티맵보밀리티와 함께 6개월간 관련 보험료를 무료로 제공하는 이벤트를 하고 있다 .	O O O O O O O O O O O O
독감 예방 접종은 접종 2주 뒤 항체가 형성되고 6개월간 예방 효과가 지속된다는 점을 고려했을 때, 독감 백신은 독감 유행 전인 9~11월에 접종을 완료하는 것이 좋다. 65세 이상 어르신들은 병의원이 붐비는 것을 막기 위해 사전 예약을 통해 접종할 것을 권장하고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
청와대 국민청원 게시판에는 코로나19 백신 접종 후 부작용과 관련된 청원글이 적잖게 올라와 있다 .	O O O O O O O O O O O O O O
그는 “(접종당일) 생리주기보다 5일 일찍 생리가 시작했다”며 “(접종 2일차엔) 생리양이 평소보다 너무 많고 생리통이 평소보다 너무 심했다”고 했다 .	O O O O O O O O O O O O O O O O O O O
현재 국내에서 접종 중인 아스트라제네카와 화이자 백신 모두 국소 부작용 (주사 부위 통증, 부어오름, 홍조 등)과 전신 부작용 (피로감, 근육통, 두통, 발열 등)이 나타날 수 있다 .	O O O O VACC-B VACC-B O O O O SYMP-B SYMP-I SYMP-I SYMP-B SYMP-B O O O SYMP-B SYMP-B SYMP-B SYMP-B O O O O O
라이나생명의 (무)안심되는 아나필락시스쇼크진단보험은 다양한 원인으로 아나필락시스 쇼크로 진단이 확정된 경우 최초 1회에 한해 최대 200만원을 지급한다 .	O O O O O DIS-B DIS-I O O O O O O O O O O
서양인들에게 집중돼 있는 해외 연구결과에 의존할 것이 아니라 아시아, 특히 우리나라 국민들에게 나타나는 백신 부작용을 추적 관찰하는 등 추가적인 연구를 통해 부작용의 인과성을 따져볼 필요가 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
일부 시·도에서 역학 조사를 거쳐 백신 부작용이라고 판정한 사례 14건 중 인과성을 인정받은 경우는 약 15%에 불과했으며 치료비 지원 대상으로 판정한 사례 6건 중 인정받은 사례는 한 건도 없었다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
다만, 열은 화이자 백신 접종자(19%)보다 아스트라제네카 백신 접종자(36%)에서 더 흔했다 .	O SYMP-B VACC-B O O VACC-B O O O O O
화이자 백신은 mRNA 백신으로 코로나 바이러스 표면에서 발견되는 스파이크 단백질을 생성하기 위한 일련의 정보를 신체에 제공하여 우리의 면역계가 항체를 생성하도록 하여 바이러스와 싸울 준비를 하게 만드는 것이다 .	VACC-B O VACC-B O O O O O O O O O O O O O O O O O O O O O O O O O
또 월경 이상 현상의 경우 질병관리청 홈페이지 등을 통해 백신 접종 후 이상 반응을 신고할 때 ‘기타’를 선택하고 기록하면 된다고 설명했다 .	O SYMP-B SYMP-I O O O O O O O O O O O O O O O O O O O
최대 1000만원까지 지원 받는 ‘인과성 근거가 불충분 중증 환자’ 의료비 지원 대상자는 35명에 불과하다 .	O O O O O O O O O O O O O O O
이에 이들은 청와대 국민청원 홈페이지에서도 백신 부작용에 대해 목소리를 높이고 있다 .	O O O O O O O O O O O O
백신접종이 늘면서 백신보험에 대한 관심도 높아지고 있다 .	O O O O O O O O
15일 코로나19 예방접종대응추진단에 따르면 이날 기준 단 한 차례도 백신을 접종하지 않은 18세 이상 성인은 531만 명에 달한다 .	O O O O O O O O O O O O O O O O O O O
중대한 이상반응은 사망 678건, 중증 908건, 아나필락시스 854건 등 총 2440건에 대한 평가가 이뤄졌다 .	O O DIS-B O O O DIS-B O O O O O O O O
백신 접종률이 높아지면서 동시에 이상 반응 신고도 늘어나고 있는데, 백신 부작용이 위드 코로나 전환에 가장 큰 장애물로 분석된다 .	O O O O O O O O O O O O O O O O O O O
코로나 백신 접종이 아직 끝나지 않은 상황에서, 독감 백신까지 꼭 접종해야 하는지 많은 사람들이 걱정을 하고 있다 .	O O O O O O O O O O O O O O O O O O
가장 일반적인 부작용은 국소 통증(93%)이었고 그 다음으로는 피로(81%), 근육통(79%), 두통(62%) 순이었다 .	O O O SYMP-B SYMP-I O O SYMP-B SYMP-I SYMP-I O O
그 외 면역 반응 중 IgE항체에 의한 반응이 활성화되면 접종 직후 얼굴 부종, 호흡 곤란, 저혈압 등을 동반하는 아나필락시스 반응이 나타나기도 합니다 .	O O O O O O O O O O O O SYMP-B SYMP-B SYMP-I SYMP-B O O DIS-B O O O O
보건당국은 코로나19 백신 접종 뒤 백혈병이 발생했다는 신고 사례에 대해서도 의학계에 인과성 등에 대한 검토를 요청했다고 밝혔다 .	O O O O O DIS-B O O O O O O O O O O O O
담당의사는 중대뇌동맥 혈전증으로 인한 뇌경색증이란 진단을 내렸다. 하지만 최씨는 마냥 슬퍼하고 있을 수가 없다 .	O DIS-B DIS-I O DIS-B O O O O O O O O O O
현재 코로나19 예방 접종을 맞은 사람의 수는 1차 접종 기준 총 1256만5269명(6월 14일 자정기준)으로 전체 인구의 4분의 1(24.2%)에 다가서고 있다 .	O O O O O O O O O O O O O O O O O O O O O
심장은 터번 모양으로 심근 섬유가 감겨있는 형태를 지닌다 .	O O O O O O O O O
20대 여성 A씨는 화이자 1차접종을 마친 후 가슴두근거림으로 일상생활이 불편하다며 백신 부작용이 아닐까란 불안함이 생겨 2차 접종을 미루고 있다고 말했다 .	O O O VACC-B O O O SYMP-B O O O O O O O O O O O O O
국제적인 백신 부작용 판정 기준을 사용한다는 질병관리청의 설명도 정확히 말하면 사실이라고 하기 어렵다 .	O O O O O O O O O O O O O O
회원이 1만 3,000여 명에 이르는 ‘코로나 백신 부작용 피해자 모임’이라는 카페에서는 ‘백신을 맞은 사람에게서는 전자파 파동이 느껴진다’ ‘접종자의 몸에서 방사능 피폭이 일어난다’ ‘백신을 맞았더니 모기까지 피해간다’ 등의 거짓 정보가 퍼지고 있다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
또 종전에 감염병 확진으로 격리된 자에게만 제공되던 생활지원을 백신 부작용자에게도 확대 적용 하도록 해 고용상태에 놓여 있지 않은 피해자에 대한 재정적 지원방안도 마련했다 .	O O O O O O O O O O O O O O O O O O O O O O O O
아울러 청원인은 아이의 사망원인을 밝혀달라고 강조하며 정부를 향해 “코로나 백신 부작용이면 정부의 과실을 인정하라 .	O O O O O O O O O O O O O O O
코로나19 백신은 우리 마음과는 무관하게 강제적으로 항체를 만들게 하지만 우리 몸은 물질만으로는 바이러스에 대항하는 면역력을 구축할 수가 없다 .	O O O O O O O O O O O O O O O O O O O
여야 모두 중요 논의 대상 법률로 고려하고 있으며, 이 과정에서 병합돼 위원회 안으로 발의될 가능성도 있다 .	O O O O O O O O O O O O O O O O O
코로나19 백신 종류와 상관없이 의료기관에서 혈소판감소성 혈전증 이상반응 검사를 질병관리청에 요청한 경우 관련 검사를 의무화하는 법안이 추진된다 .	O O O O O DIS-B DIS-B O O O O O O O O O O O
신체 활동이 증가할수록 염증이 진행하므로 활동을 다소 제한하는 것이 좋다 .	O O O O O O O O O O O
신청을 받아왔다 .	O O O
또한 올해 역시 보건소가 예방접종 기능을 수행하기 어려운 만큼 개원가에서 전체 NIP 접종을 대부분 감당할 것으로 예상돼 사전에 대비가 필요하다는 지적도 나온다 .	O O O O O O O O O O O O O O O O O O O O O O O
한편 내일(1일)부터 한미정상회담 후속조치에 따라 국내에 들어오는 얀센 백신 101만 회분의 사전예약이 진행된다 .	O O O O O O O VACC-B O O O O O O
대부분은 백신 접종 후 수일 내에 부작용은 사라지지만 기저질환 등의 이유로 드물게 오래가는 경우도 있다 .	O O O O O O O O O O O O O O O O
11명(26%)은 중등도 이상의 국소 부작용을, 30명(71%)이 중등도 이상의 전신 부작용을 보고했다 .	O O O O O O O O O O O O
최근 청와대 국민청원 게시판에 코로나19 백신 부작용을 호소하는 글들이 잇따라 올라오고 있다 .	O O O O O O O O O O O O O
KB손보는 기존 판매하는 장기인보험에 백신보험을 특약 형태로 판매하고 있다 .	O O O O O O O O O O
백신의 종류에 따라 부작용도 다르고 효과도 다르게 나타난다 .	O O O O O O O O O
지난 24일(현지시간) 뉴스위크 등 현지 매체에 따르면 미국 플로리다주의 한 병원에 근무 중이던 간호사 헤일리 리처드슨(32)은 임신 7개월째에 코로나19에 감염됐다 .	O O O O O O O O O O O O O O O O O O O O O
이후 7일 오후 6시경 몸 상태가 이상하다며 병원 응급실에 도착했고, 그 당시 정신이 있었는데 병원에서 머리와 관련된 X-ray, CT, MRI, 혈액검사, 병리검사 등의 검사만 받다 8일 오전 3시 41분에 사망했다”고 했다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O DIS-B O O
다섯째, 환경 살리기 코로나19 팬데믹 상황이 되면서 사람 간의 이동이 제한되고, 그 탓에 일부 환경오염 상태가 완화되었다는 말도 들린다 .	O O O O O O O O O O O O O O O O O O O O
이렇게 면역 반응이 유도되면 면역세포들이 특정 병원체를 기억하고 있다가 실제 병원체가 몸에 침투했을 때 빠르게 면역 반응을 일으켜 병원체를 신속하게 제거하여 감염되거나 중증으로 진행하는 것을 막습니다 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
정부에서 코로나19 백신 접종을 독려하고 있는 가운데 백신을 맞고 심각한 후유증을 앓는 사례가 잇따라 보고되고 있다 .	O O O O O O O O O O O O O O O O O
이스라엘은 화이자 백신이 청소년에 부작용을 일으킬 수 있다는 임상분석결과를 공개하면서, 3000명의 청소년 백신접종자 중에서 1명꼴로 심각한 심근염 부작용이 발생한다는 결과를 발표하기도 했다 .	O VACC-B O O O O O O O O O O O O O O DIS-B O O O O O O
지난 5일 주석은 자신의 인스타그램 스토리를 통해 (백신)1차 맞고 6주가 지나도 두피부터 발끝까지 두드러기가 계속 나서 오늘 백신 2차 포기라고 말했다 .	O O O O O O O O O O O O O SYMP-B O O O O O O O O
21일(현지시간) 로이터 통신의 보도에 따르면 영국 의약품건강관리제품규제청(MHRA)은 이날 웹사이트에 업데이트한 백신 부작용에 AZ 백신의 매우 드문 부작용으로 길랭-바레 증후군을 추가했다 .	O O O O O O O O O O O O VACC-B O O O O DIS-B DIS-I O O
그러나 델타 변이가 지배종이 된 이후부터 몇 주 사이(지난 8월 14일까지)에 효과는 66%까지 떨어진 것으로 조사됐다 .	O O O O O O O O O O O O O O O O O
여성 비율도 42% 늘었다 .	O O O O O
또한 접종 후 최소 3일간은 특별한 관심을 가지고 관찰하고, 고열이 있거나 평소와 다른 신체 증상이 나타나면 의사 진료를 받아야 한다 .	O O O O O O O O O O O O O O O O O O O O O
병원에서 의심사례로 보고하지 않은 경우까지 포함하면 코로나 백신 부작용으로 사망한 사람은 더욱 많을 것이다 .	O O O O O O O O O DIS-B O O O O O
아예 다른 기업들과 제휴해 해당 보험료를 대신 지급해주고 무료로 상품을 제공하는 이벤트도 활발하다 .	O O O O O O O O O O O O O O
열기가 지속되고 있어요’, ‘흉통으로 고생하시는 분 계신가요?’. 지난 5월 한 포털사이트에 개설된 한 카페에는 매일 같이 신종 코로나바이러스 감염증(코로나19) 백신 접종 후 나타나는 부작용 증세에 대한 문의와 치료 후기 등이 올라오고 있다 .	O O O SYMP-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
일시보상금은 시행령 제29조제4호에 따라 사망 당시의 「최저임금법」에 따른 월 최저임금액에 240을 곱한 금액에 상당하는 금액을, 장제비는 30만원을 지급받을 수 있습니다 .	O O O O O O O O O O O O O O O O O O O O O
이어 최종 확인을 위해 혈소판 인자에 대한 항체검사를 실시한 결과, 이날(31일) 항체 양성으로 최종 확인됐다 .	O O O O O O O O O O O O O O O O
8일 보험업계에 따르면, 토스는 DB손해보험, 삼성화재와 코로나 백신 부작용 보험 무료 이벤트 협업사로 저울질하던 중 삼성화재와 이벤트를 하기로 최종 결정했다 .	O O O O O O O O O O O O O O O O O O O O O
병원의 과실이라면 병원에 응당한 책임을 지게 해달라”며 목소리를 높였다 .	O O O O O O O O O O
정말 후회된다라고 호소했다 .	O O O O
현재 우리나라에서 접종하고 있는 백신은 아스트라제네카 화이자 모더나 얀센의 4가지 종류이다 .	O O O O O VACC-B VACC-B VACC-B VACC-B O O O
이는 항체가 주로 2차 접종 때 많이 형성되기 때문으로 보인다 .	O O O O O O O O O O O
